Household_ID,Date,County,Energy_Consumption_kWh,Has_AC
S577,2026-03-09,Limerick,5.43,No
S30,2026-02-17,Limerick,1.11,No
S466,2026-02-21,Limerick,2.128,No
S558,2026-02-24,Limerick,3.41,No
S66,2026-03-10,Limerick,0.03205,No
S235,2026-03-18,Galway,0.18,No
S625,2026-03-07,Cork,6.176,No
S332,2026-03-05,Limerick ,2.42,No
S82,2026-02-25,Limerick,0.01801,No
S482,2026-03-16,Limerick,3.06,No
S617,2026-02-21,Limerick,5.205,No
S484,2026-03-19,Limerick,0.8800000000000001,No
S627,2026-02-23,Limerick,4.505,No
S197,2026-03-08,Limerick,4.2459999999999996,No
S533,2026-03-01,Limerick,0.704,No
S737,2026-02-16,Limerick,8.3,No
S77,2026-03-07,Roscommon,0.02445,No
S260,2026-03-03,Limerick,0.18,No
S685,2026-02-16,Limerick,8.1,No
S303,2026-02-25,limerick,0.18,No
S73,2026-03-14,Roscommon,0.05695,No
S739,2026-02-19,Limerick,4.869999999999999,No
S451,2026-03-10,Limerick,3.488,No
S650,2026-02-16,Limerck ,1.28,No
S630,2026-03-17,Limerick,2.07,No
S64,2026-03-12,Limerick,0.02044,No
S255,2026-03-14,Limerick,4.949999999999999,No
S669,2026-03-07,Limerick,6.409999999999999,No
S301,2026-03-09,galway,0.38,No
S210,2026-02-25,Limerick,0.9359999999999999,No
S761,2026-03-03,Ireland,0.42000000000000004,No
S522,2026-03-09,Limerick,2.79,No
S702,2026-03-15,Mayo,9.18,No
S276,2026-03-16,Limerick,0.7,No
S200,2026-03-14,Limerick,0.95,No
S8,2026-02-23,school,0.42000000000000004,No
S292,2026-03-07,Mayo,5.23,No
S102,2026-02-28,Limerick,0.01,No
S381,2026-03-12,Limerick,3.665,No
S211,2026-02-28,Limerick,1.083,No
S579,2026-03-13,Limerick,3.31,No
S3,2026-02-22,Limerick,2.513,No
S378,2026-03-16,Limerick,20.994,No
S396,2026-03-01,Limerick,20.880000000000003,No
S307,1999-04-02,Co Clare,0.4,No
S520,2026-03-07,Limerick,2.5625,No
S418,2026-02-27,Limerick,1.33,No
S726,2026-03-11,limerick,0.265,No
S671,2026-03-09,Limerick,10.105,No
S447,2026-03-05,Limerick,4.54,No
S214,2026-03-06,Limerick,0.275,No
S424,2026-02-22,Limerick,1.67,No
S251,2026-03-10,Limerick,9.719999999999999,No
S352,2026-02-20,Limerick,16.745,No
S80,2026-02-27,Limerick,0.02816,No
S149,2026-02-21,Galway,0.3,No
S334,2026-03-11,Limerick,2.34,No
S169,2026-02-21,Limerick,2.41,No
S696,2026-03-14,Limerick ,8.222,No
S639,2026-03-14,Limerick,4.125,No
S134,2026-02-21,Cork,4.16,No
S356,2026-02-24,Limerick,18.740000000000002,No
S56,2026-03-17,Limerick,1.5800000000000003,No
S410,2026-03-15,Limerick,21.02,No
S595,2026-03-05,Ireland,0.2,No
S368,2026-03-10,Limerick,20.630000000000003,No
S543,2026-03-05,Limerick ,6.17,No
S357,2026-02-26,Limerick,12.68,No
S507,2026-02-24,Limerick,2.4675000000000002,No
S361,2026-03-02,Limerick,14.69,No
S61,2026-03-09,Limerick,4.154,No
S602,2026-03-12,Ireland,0.3,No
S614,2026-03-12,Limerick ,0.388,No
S175,2026-03-10,Limerick,4.17,No
S423,2026-02-21,Limerick,0.778,No
S425,2026-02-23,Limerick,6.97,No
S353,2026-02-21,Limerick,20.98,No
S736,2026-02-18,Limerick,1.2799999999999998,No
S182,2026-02-19,Limerick,4.725,No
S295,2026-02-19,limerick,6.9,No
S91,2026-02-05,Limerick ,0.7360000000000001,No
S221,2026-03-04,Waterford ,0.168,No
S718,2026-03-04,limerick,0.105,No
S427,2026-02-19,Limerick,1.44,No
S159,2026-02-25,Limerick,1.1,No
S70,2026-03-03,Limerick,0.01396,No
S397,2026-03-02,Limerick,20.82,No
S132,2026-02-18,Limerick ,9.032499999999999,No
S45,2026-03-06,Limerick,1.8800000000000001,No
S71,2026-03-02,Limerick,0.02535,No
S209,2026-02-24,Limerick,0.286,No
S339,2026-03-08,Limerick ,1.975,No
S441,2026-02-27,Limerick,4.42,No
S591,2026-03-16,Ireland,0.2,No
S136,2026-02-21,Cork,4.25,No
S291,2026-02-20,Limerick,8.36,No
S166,2026-03-05,Limerick ,2.39,No
S165,2026-02-18,Limerick ,2.19,No
S29,2026-02-16,Limerick,0.9200000000000002,No
S710,2026-03-01,limerick,0.08,No
S194,2026-03-05,Limerick,0.8250000000000001,No
S219,2026-03-11,Limerick,1.375,No
S624,2026-03-12,Limerick,2.255,No
S519,2026-03-05,Limerick,2.43,No
S137,2026-02-16,Clare,0.48,No
S399,2026-03-04,Limerick,20.82,No
S631,2026-02-27,Cork,8.28,No
S141,2026-02-16,Limerick,4.694999999999999,No
S719,2026-03-05,limerick,0.01,No
S7,2026-03-10,Limerick,0.055,No
S590,2026-02-17,Ireland,0.19,No
S325,2026-03-01,Limerick,7.205,No
S74,2026-03-06,Limerick,0.03604,No
S684,2026-03-06,Limerick,8.222000000000001,No
S429,2026-02-24,Limerick,1.835,No
S146,2026-02-20,Limerick ,2.65,No
S310,2026-02-22,Limerick,0.42,No
S327,2026-02-27,Clare,0.528,No
S495,2026-02-23,Ireland,0.045,No
S133,2026-02-19,Limerick,5.887499999999999,No
S358,2026-02-27,Limerick,16.732000000000003,No
S538,2026-02-25,Limerick ,4.216,No
S731,2026-03-07,Limerick,11.78,No
S432,2026-02-27,Limerick,0.385,No
S42,2026-03-03,Limerick,1.5800000000000003,No
S474,2026-03-05,Limerick,2.208,No
S109,2026-02-19,Limerick,0.54,No
S329,2026-03-08,Limerick,2.7640000000000002,No
S57,2026-03-05,Limerick,6.96,No
S240,2026-03-15,Limerick,0.32,No
S300,2026-02-20,Galway,0.38,No
S603,2026-03-13,Ireland,0.3,No
S228,2026-03-11,Galway,0.4,No
S213,2026-02-26,Limerick,2.273,No
S581,2026-02-27,Ireland,0.11,No
S363,2026-03-05,Limerick,12.749999999999998,No
S25,2026-03-02,Limerick,3.48,No
S636,2026-03-06,Cork,4.08,No
S623,2026-03-06,Limerick,2.15,No
S335,2026-03-12,Limerick ,0.58,No
S364,2026-03-06,Limerick,20.62,No
S626,2026-03-16,Limerick,2.306,No
S111,2026-02-21,Limerick,0.06,No
S83,2026-02-24,Limerick,0.020139999999999998,No
S52,2026-03-13,Limerick,0.7400000000000001,No
S463,2026-02-17,Limerick,2.92,No
S496,2026-02-22,Ireland,0.055,No
S715,2026-02-28,limerick,0.027000000000000003,No
S629,2026-03-13,Cork,6.1,No
S199,2026-03-09,Limerick,0.995,No
S659,2026-02-22,Limerick,1.361,No
S705,2026-03-03,Ireland,0.2,No
S315,2026-02-23,Limerick,1.04,No
S479,2026-03-13,Limerick ,5.05,No
S347,2026-03-14,Limerick,2.2675,No
S140,2026-02-25,Limerick ,0.274,No
S320,2026-02-28,Limerick,1.1600000000000001,No
S445,2026-03-04,Limerick,8.39,No
S19,2026-02-28,limerick,1.7000000000000002,No
S572,2026-02-16,Limerick,7.430000000000001,No
S598,2026-03-08,Ireland,0.09,No
S84,2026-02-23,Limerick,0.023950000000000003,No
S62,2026-03-13,Limerick ,0.24,No
S362,2026-03-04,Limerick,14.745,No
S430,2026-02-25,Limerick,1.03,No
S183,2026-02-21,Limerick,5.375,No
S478,2026-03-12,Limerick,9.59,No
S224,2026-02-17,Galway,0.32,No
S641,2026-02-22,Clare,0.33999999999999997,No
S449,2026-03-08,Limerick,10.52,No
S433,2026-02-28,Limerick,0.8099999999999999,No
S542,2026-02-28,Cork,4.079999999999999,No
S426,2026-03-02,Limerick,6.79,No
S607,2026-02-16,Limerick,2.73,No
S177,2026-03-03,Limerick,0.24,No
S534,2026-03-08,Limerick ,0.33899999999999997,No
S366,2026-03-08,Limerick,16.68,No
S164,2026-02-17,Limerick ,9.09,No
S249,2026-03-08,Limerick,3.3800000000000003,No
S523,2026-03-10,Limerick,2.5475000000000003,No
S693,2026-03-01,Limerick,5.048,No
S75,2026-03-13,Roscommon,0.02299,No
S604,2026-03-14,Ireland,0.25,No
S712,2026-02-25,limerick,0.055,No
S105,2026-03-20,Limerick,0.19,No
S115,2026-02-25,Limerick,0.13999999999999999,No
S758,2026-02-22,Limerick,5.0,No
S93,2026-02-20,Limerick,0.8360000000000001,No
S394,2026-02-27,Limerick,20.759999999999998,No
S90,2026-02-17,Limerick,0.01965,No
S413,2026-03-18,Limerick,16.67,No
S759,2026-02-24,Limerick,5.17,No
S725,2026-03-11,limerick,0.8650000000000001,No
S468,2026-02-24,Limerick,2.378,No
S531,2026-02-24,Limerick,9.41,No
S12,2026-03-05,Limerick,8.178,No
S337,2026-03-15,Limerick ,1.15,No
S44,2026-03-05,Limerick,1.3500000000000003,No
S43,2026-03-04,Limerick,1.23,No
S168,2026-02-20,Limerick,6.9799999999999995,No
S686,2026-02-17,Limerick,6.239999999999999,No
S728,2026-03-15,limerick,0.625,No
S395,2026-02-28,Limerick,20.76,No
S179,2026-02-16,Limerick,9.370000000000001,No
S518,2026-03-04,Limerick,3.0975,No
S527,2026-03-16,Limerick,2.3175000000000003,No
S178,2026-02-20,Limerick,3.19,No
S638,2026-03-10,Limerick,2.246,No
S548,2026-02-20,Ireland,2.51,No
S258,2026-03-04,Limerick,0.31,No
S343,2026-02-27,Limerick,4.34,No
S454,2026-03-13,Limerick,8.56,No
S16,2026-03-07,Limerick,4.13,No
S690,2026-02-28,Limerick,6.144,No
S257,2026-03-05,limerick,0.31,No
S771,2026-02-27,limerick,0.23,No
S483,2026-03-18,Limerick,2.48,No
S457,2026-03-16,Limerick,8.31,No
S517,2026-03-01,Limerick,3.0725000000000002,No
S421,2026-02-19,Limerick,0.782,No
S382,2026-03-13,Limerick,0.02,No
S328,2026-03-07,Dublin ,0.048,No
S440,2026-02-26,Limerick,2.31,No
S10,2026-02-25,Limerick,1.21,No
S250,2026-03-09,Limerick,5.01,No
S23,2026-02-22,Limerick,1.02,No
S222,2026-03-05,Waterford,0.30400000000000005,No
S535,2026-03-11,Limerick ,0.424,No
S673,2026-03-11,Limerick,0.824,No
S765,2026-02-20,Limerick,0.47,No
S717,2026-03-03,limerick,0.025,No
S654,2026-03-02,Limerick ,2.6999999999999997,No
S204,2026-03-15,Limerick,1.7900000000000003,No
S238,2026-02-27,limerick,0.18,No
S94,2026-02-20,Limerick ,0.8200000000000001,No
S383,2026-02-16,Limerick,21.169999999999998,No
S345,2026-03-04,Limerick,2.3080000000000003,No
S487,2026-03-15,Limerick,0.01,No
S285,2026-03-08,Limerick,6.218,No
S185,2026-02-23,Limerick,2.76,No
S633,2026-03-02,Limerick,2.29,No
S672,2026-03-10,Limerick,6.435,No
S154,2026-02-17,LIMERICK,0.19499999999999998,No
S76,2026-03-08,Roscommon,0.038599999999999995,No
S779,2026-03-06,Limerick,5.6,No
S278,2026-03-19,Limerick,1.004,No
S69,2026-03-04,Limerick,0.019110000000000002,No
S491,2026-02-27,Limerick,1.3400000000000003,No
S189,2026-02-27,Limerick,2.27,No
S272,2026-03-12,Limerick,0.26,No
S237,2026-03-13,Limerick,2.45,No
S89,2026-02-18,Limerick,0.019100000000000002,No
S764,2026-02-18,Limerick,1.13,No
S118,2026-03-02,Limerick,0.02,No
S126,2026-02-17,Limerick,0.6220000000000001,No
S656,2026-02-18,Limerick,1.2,No
S290,2026-02-17,Limerick,2.5300000000000002,No
S239,2026-03-13,Limerick,0.19999999999999998,No
S1,2026-03-01,limerick,0.13,No
S772,2026-03-05,limerick,0.8300000000000001,No
S500,2026-03-09,Limerick,0.08,No
S683,2026-03-05,Ireland,2.59,No
S678,2026-02-19,Ireland ,4.53,No
S279,2026-02-20,Limerick,0.32999999999999996,No
S611,2026-02-24,Limerick,0.394,No
S117,2026-03-01,Limerick,0.02,No
S229,2026-03-12,Galway,0.4,No
S744,2026-02-19,Limerick ,6.58,No
S568,2026-03-18,Limerick,6.29,No
S443,2026-03-02,Limerick,6.51,No
S275,2026-03-15,Cork,0.15,No
S319,2026-02-27,Limerick,0.76,No
S539,2026-03-11,Limerick ,6.345,No
S145,2026-03-01,Mobile phone (Ireland) (4hours),0.28,No
S494,2026-03-11,Limerick,0.035,No
S486,2026-03-04,Ireland,0.22999999999999998,No
S708,2026-02-18,home,1.1600000000000001,No
S573,2026-02-19,Limerick,8.99,No
S370,2026-03-11,Limerick,20.745,No
S269,2026-03-04,Limerick,0.696,No
S555,2026-03-03,Limmerick,5.38,No
S308,2026-02-18,Limerick,2.33,No
S311,2026-02-28,Limerick,7.377999999999999,No
S434,2026-03-01,Limerick,0.775,No
S47,2026-03-08,Limerick,1.01,No
S350,2026-02-18,Limerick,14.931999999999999,No
S372,2026-03-13,Limerick,20.810000000000002,No
S592,2026-03-01,Ireland,0.1,No
S262,2026-02-25,Limerick,1.09,No
S196,2026-03-07,Limerick,1.005,No
S780,2026-03-16,Limerick,4.78,No
S655,2026-03-03,Limerick ,5.1899999999999995,No
